Date,Title,Company,URL,Deadline,Location,Experience,Requirement,Job Type
2024-03-27,AI 머신러닝 데이터분석가 등 경력 채용,(주)에이아이더뉴트리진,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47372170&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 03/31(일),서울 강남구,경력,대졸↑,정규직
2024-03-27,데이터분석가 모집 (수원시),(주)케이알랩바이오,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47524961&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 04/06(토),경기 수원시 영통구,경력무관,초대졸↑,정규직·계약직
2024-03-27,[넛지헬스케어] 데이터분석가 - 석사/박사,넛지헬스케어(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47662496&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 04/27(토),서울 강남구,경력무관,석사↑,정규직
2024-03-27,데이터엔지니어 데이터분석가 및 AI개발자 모집,(주)아이티공간,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47666854&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,내일마감,울산 남구,신입·경력,학력무관,정규직·전문연구요원
2024-03-27,패널빅데이터센터 데이터사이언스팀 데이터 분석가(신입/경력),(주)마크로밀엠브레인,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47856969&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 04/24(수),서울 강남구,신입·경력,대졸↑,정규직
2024-03-27,카카오스타일에서 '데이터 분석가 인턴'을 모집합니다.,(주)카카오스타일,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47763599&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,채용시,경기 성남시 분당구,경력무관,학력무관,인턴직
2024-03-27,[사이넷] 스포츠 데이터 분석가  (주 4일제),(주)사이넷,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47511063&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 04/05(금),서울 송파구,경력무관,대졸↑,계약직
2024-03-27,[사이넷] 데이터 분석가 채용 (주 4일제),(주)사이넷,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47511074&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 04/05(금),서울 송파구,경력무관,초대졸↑,계약직
2024-03-27,데이터 분석가 (3년 이하),(주)라포랩스,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47736366&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,상시채용,서울 강남구,신입·경력,학력무관,정규직
2024-03-27,데이터 ETL 빅데이터 분석가 모집(정부사업 수행),데이터랩(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47819943&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 04/19(금),경기 수원시 영통구,경력무관,대졸↑,정규직·계약직
2024-03-27,[인텔리전스랩스] 데이터 분석가(게임 플레이 로그 데이터 분석),(주)넥슨코리아,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47765245&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,채용시,경기 성남시 분당구,경력무관,학력무관,정규직
2024-03-27,[연세의료원] 보건의료데이터분석  관련 과제 참여연구원 모집,연세대학교산학협력단,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47839255&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 05/21(화),서울 서대문구,경력무관,대졸↑,계약직
2024-03-27,서울대학교병원 영상데이터분석/딥러닝 연구원 채용,서울대학교병원,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47772972&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 05/12(일),서울 종로구,경력,대졸↑,계약직
2024-03-27,인공지능 데이터분석 연구원채용,분당서울대학교병원,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47639277&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,채용시,경기 성남시 분당구,경력무관,대졸↑,계약직
2024-03-27,2024년 현대위아 신입/경력사원 채용,현대위아(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47810353&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,내일마감,경기 의왕시,신입·경력,대졸↑,정규직
2024-03-27,2024 샘표식품 직무별 수시 채용,샘표(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47816918&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 03/31(일),서울 중구,신입·경력,학력무관,정규직·계약직
2024-03-27,[에듀테크 밀당] 세일즈 영업 담당 대규모 채용,아이헤이트플라잉버그스(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47695403&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 04/02(화),서울 영등포구,경력무관,학력무관,정규직
2024-03-27,㈜우진플라임 부문별 인재채용,(주)우진플라임,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47683464&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 03/31(일),충북 보은군,신입·경력,고졸↑,정규직
2024-03-27,2024년 부문별 신입/경력 채용,(주)화승코퍼레이션,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47804452&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 03/31(일),부산 연제구,신입·경력,대졸↑,정규직
2024-03-27,2024년 상반기 어드밴텍케이알㈜ 신입/경력 인재 채용,어드밴텍케이알(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47782982&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 03/31(일),서울 강서구,신입·경력,학력무관,정규직
2024-03-27,코오롱글로벌 건축/플랜트/상사부문 정규직 경력사원 공개채용,코오롱글로벌(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47840214&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 04/01(월),경기 과천시,경력,대졸↑,정규직
2024-03-27,신입사원 및 전문경력직 별정직 채용공고,한국남부발전(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47839656&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 04/08(월),부산 남구,경력무관,학력무관,정규직
2024-03-27,동아출판㈜ 2024년 3월 신입(인턴) 및 경력사원 채용,동아출판(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47770136&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,오늘마감,서울 영등포구,신입·경력,대졸↑,정규직·계약직
2024-03-27,[서울대병원 1호 스타트업] 각 부문별 신입/경력 인재 모집(수시채용),메디컬아이피(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47854584&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 03/31(일),서울 종로구,신입·경력,학력무관,정규직·전문연구요원
2024-03-27,2024년 3월 국내 및 해외 전부문 수시 채용,(주)엔켐,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47674163&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 03/31(일),충남 천안시 동남구,신입·경력,대졸↑,정규직
2024-03-27,2024년 상신브레이크 및 계열사 수시채용,상신브레이크(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47851102&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 04/14(일),대구 달성군,신입·경력,대졸↑,정규직
2024-03-27,KBI동국실업 신입/경력사원 모집,케이비아이동국실업(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47800313&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=c2d3b96e-f9d8-4d32-81e3-8766d9003eb4,~ 03/31(일),충남 아산시,신입·경력,학력무관,정규직·계약직
