Date,Title,Company,URL,Deadline,Location,Experience,Requirement,Job Type
2024-04-06,AI 머신러닝 데이터분석가 등 경력 채용,(주)에이아이더뉴트리진,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47372170&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=f03dc991-c4f4-4e2a-a48d-8bd6ea5c702f,~ 04/14(일),서울 강남구,경력,대졸↑,정규직
2024-04-06,데이터분석가 모집 (수원시),(주)케이알랩바이오,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47524961&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=f03dc991-c4f4-4e2a-a48d-8bd6ea5c702f,오늘마감,경기 수원시 영통구,경력무관,초대졸↑,정규직·계약직
2024-04-06,[넛지헬스케어] 데이터분석가 - 석사/박사,넛지헬스케어(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47662496&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=f03dc991-c4f4-4e2a-a48d-8bd6ea5c702f,~ 04/27(토),서울 강남구,경력무관,석사↑,정규직
2024-04-06,데이터엔지니어 데이터분석가 및 AI개발자 모집,(주)아이티공간,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47666854&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=f03dc991-c4f4-4e2a-a48d-8bd6ea5c702f,상시채용,울산 남구,신입·경력,학력무관,정규직·전문연구요원
2024-04-06,패널빅데이터센터 데이터사이언스팀 데이터 분석가(신입/경력),(주)마크로밀엠브레인,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47856969&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=f03dc991-c4f4-4e2a-a48d-8bd6ea5c702f,~ 04/24(수),서울 강남구,신입·경력,대졸↑,정규직
2024-04-06,[인텔리전스랩스] 데이터 분석가(게임 플레이 로그 데이터 분석),(주)넥슨코리아,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47765245&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=f03dc991-c4f4-4e2a-a48d-8bd6ea5c702f,채용시,경기 성남시 분당구,경력무관,학력무관,정규직
2024-04-06,서울대학교병원 영상데이터분석/딥러닝 연구원 채용,서울대학교병원,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47772972&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=f03dc991-c4f4-4e2a-a48d-8bd6ea5c702f,~ 05/12(일),서울 종로구,경력,대졸↑,계약직
2024-04-06,국립암센터 암빅데이터센터(데이터분석실) 과제연구원,국립암센터,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47549818&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=f03dc991-c4f4-4e2a-a48d-8bd6ea5c702f,~ 04/13(토),경기 고양시 일산동구,경력무관,대졸↑,기간제·계약직
2024-04-06,인공지능/데이터분석 컨텐츠랩 내부강사 및 연구원을 모집합니다,(주)핀인사이트,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47863627&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=f03dc991-c4f4-4e2a-a48d-8bd6ea5c702f,~ 05/04(토),서울 영등포구,경력무관,대졸↑,정규직
2024-04-06,[HL만도] 2024년 신입/경력 수시채용(판교 평택 원주),에이치엘만도(주),http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=47889238&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D%EA%B0%80&searchType=search&paid_fl=n&search_uuid=f03dc991-c4f4-4e2a-a48d-8bd6ea5c702f,~ 04/17(수),경기 성남시,신입·경력,대졸↑,정규직
